FNR;Benennung deutsch;Benennung english;Code;"Sachnummer
SNR";TypID;MY;MBR;FBR;FBM;Model Name;COP Typ-Bezeichnung
0109;Oel-Einfuellverschluss;Oil filler cap;;P 000 010 03 01;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0204;Zuendspule;Ignition coil;;P 276 906 79 00 ;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0204;Zuendspule;Ignition coil;;P 276 906 12 01;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0207;Zuendkerze;Spark plug;;P 004 159 69 03;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0207;Zuendkerze;Spark plug; ;P 004 159 72 03;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0215;Positionssensor Kurbelwelle;Crankshaft position sensor; ;P 276 905 15 00;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0219;Positionssensor Nockenwelle;Camshaft position sensor; ;P 276 905 09 00;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0301;Daempferfilter;Air cleaner; ;P 276 090 37 01;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0301;Daempferfilter;Air cleaner;2U3;P 276 090 45 01;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0301;Daempferfilter;Air cleaner; ;P 276 090 38 01;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0301;Daempferfilter;Air cleaner;2U3;P 276 090 46 01;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0302;Ladeluftverteiler;Intake manifold; ;P 276 090 02 00;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0310;oelabscheider;Oil separator;;P 273 010 01 62;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0310;oelabscheider;Oil separator;;P 276 010 71 11;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
